severity,id,category,location,issue,risk,fix
MEDIUM,M-010,Input Validation,supabase/functions/generate-player-ai/index.ts,limit_players parameter has no upper bound,Caller can pass limit_players=99999 causing massive OpenAI API spend,Add Math.min(limit_players, 100) cap before processing
MEDIUM,M-011,Key Validation,supabase/functions/generate-ai-worker/index.ts,OPENAI_API_KEY not validated for existence on startup,Function proceeds until first OpenAI call then fails with unhelpful error; wastes DB queue slots,Add early guard: if (!openAiKey) return 500 'OpenAI key not configured'
LOW,L-001,CORS,supabase/functions/stripe-webhook/index.ts,CORS Access-Control-Allow-Origin: * on server-to-server Stripe webhook endpoint,Browser-accessible endpoint could be probed; CORS headers on webhook are misleading,Remove CORS headers entirely — Stripe webhooks are server-to-server only
LOW,L-002,Open Redirect,supabase/functions/portal/index.ts,return_url uses request origin header without allowlist,Attacker can craft portal redirect to arbitrary domain,Hardcode return_url to known production domain values
LOW,L-003,Bundle Size,src/ (Vite build output),index.js chunk is 812KB minified (239KB gzip) — all admin pages bundled eagerly,Slow initial page load; admin code shipped to all users including non-admins,Add dynamic import() code-splitting for all admin feature pages
LOW,L-004,Config,supabase/functions/pipeline-alerts/index.ts,PIPELINE_ALERT_WEBHOOK_URL missing silently — no startup warning,Alerts silently drop with no indication the webhook is unconfigured,Add explicit console.warn log when env var is absent on startup
FIXED,FIX-001,RLS Anti-Pattern,public.weekly_content_plans + public.weekly_content_posts,auth.role()='service_role' anti-pattern on public role caused permission denied for all pipeline writes,DONE — dropped 18+9 duplicate policies; applied clean TO service_role ALL canonical policies via migration 20260325081647
FIXED,FIX-002,Edge Function Auth,supabase/functions/admin-command/index.ts,No admin verification before executing privileged commands,DONE — added JWT + get_access_state() guard in prior session
FIXED,FIX-003,Frontend Content Security,src/components/PremiumGate.tsx,Premium content mounted in DOM when locked (only hidden via CSS class),DONE — children not mounted when locked=true
FIXED,FIX-004,RLS Misconfiguration,public.system_state,Policy named admin-only but qual=true — all authenticated users could read,DONE — migration fix_rls_system_state_admin_guard applied
FIXED,FIX-005,RLS Misconfiguration,public.ai_generation_queue,authenticated SELECT true exposed AI job queue to all users,DONE — migration fix_rls_ai_generation_queue_service_role_only applied
FIXED,FIX-006,HTTP Security Headers,vercel.json,No security headers (CSP/HSTS/X-Frame-Options absent),DONE — full header set added to vercel.json
FIXED,FIX-007,Frontend Auth,src/pages/PipelineHistory.tsx,Hardcoded email shortcut bypassed admin role check,DONE — removed ADMIN_EMAIL hardcode; uses get_access_state() RPC only
FIXED,FIX-008,RLS Write Abuse,public.start_sit_decisions,Anonymous INSERT was fully open,DONE — restricted to authenticated role only
FIXED,FIX-009,RLS Duplicate,public.weekly_content_plans + public.weekly_content_posts,18 and 9 duplicate policies respectively,DONE — canonical policy set applied
